,0,1,2,3,4,5
803,,,,he was going to stab me. xxx took the pencil from xxx and xxx began punching xxxand then began kicking,,
804,,,,him. We were also able to take his satchel from him. This only escalated him. He then began to punch,,
805,2016-2017 Y,12/19/2016 Supine Hold,Hallway,"harder. xxx, xxx, xxx and xxx then restrained him. xxx put him into a small child and he bit her 4 times, twice",,
806,,,,xxx was having difficulty following expectations within the classroom. He became disruptive and unsafe,,
807,,,Small child restraint 2,"within the room. When he was asked to take a break to regain control of himself, he knock over a desk and",,
808,2016-2017 N,10/27/2016,"person hold
Classroom",became physically aggressive toward adults. At this point a TCI small child hold was utilized. When xxx,,
809,,,,Student was in the CR working on regaining his control/composure.  Another student purposefully went by,,
810,,,,CR and turned the lights off.  This student came out of CR and began running towards the other student,,
811,2016-2017 N,12/8/2016 Standing Hold,Calm Room,with his right fist up and muttering words.  Adult put a standing hold on student when verbal and physical,,
812,,,StudentDiscipline_L,,,
813,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
814,,,,Student was found drawing on property in classroom and put his hands on another student for sitting in the,,
815,,,Small child restraint 1,chair he wanted. Student walked across the hall to support area where behavior continued and he began to,,
816,2016-2017 Y,8/3/2016,"person hold
Classroom",through papers at teachers face. Student was being unsafe and climbing on top of furniture. Student was in,,
817,,,,Student was in support area due to disruption of class and property misuse. While in the support area,,
818,,,Small child restraint 1,student was jumping on desks and standing on chairs and when told to sit down he refused. Student tried,,
819,2016-2017 Y,8/8/2016,"person hold
Other",to kick and threw papers. He was held for five minutes until calm and was able to keep hands and feet to,,
820,,,,"xxx came off the bus refused to come in class.  He was swearing at staff, eventually went to the calm room",,
821,,,Small child restraint 1,"area but continued to escalate.  He ran from staff, put himself in the calm room then slammed the door",,
822,2016-2017 Y,10/3/2016,"person hold
Hallway",repeatedly.  I then opened the door so he wouldn't hurt himself and he punched me multiple times.  I held,,
823,,,Small child restraint 2,On the above date and time. the above named student became upset and started going after staff. The,,
824,2016-2017 Y,10/4/2016,"person hold
Classroom",above named student was place in a small child restraint hold by this writer and another staff member.,,
825,,,,xxx went over to another students desk and put his fingers on the iPad the child was using.  I kept the two,,
826,2016-2017 Y,10/5/2016 Standing Hold,Classroom,students apart as they tired to hit each other.  Each used fists to attempt to hit each other.,,
827,,,,Student was upset that he was not allowed to go to art due to previous behaviors until he could show a,,
828,,,,calm body. Â Student threw his chair and tipped his desk. Â Staff asked him to pick up the desk and chair,,
829,,,Small child restraint 2,"and sit down. Â Student did, then yelled and told staff ""Shut up stupid. Â I hate you. Â I want to kill you.""",,
830,2016-2017 Y,11/7/2016,"person hold
Classroom",Â Staff reminded him that he needed to show a clam body to go to art. Â Student stood up and walked,,
831,,,Small child restraint 2,The student was being disruptive in class and was acting aggressive towards another student.  The student,,
832,2016-2017 Y,11/7/2016,"person hold
Classroom",was put into a small child restraint 2 person hold for 3 minutes and calmed down.  He was able to go back,,
833,,,Small child restraint 1,xxx entered the classroom. Another student spoke to xxx rudely. xxx verbalized and circled the room stating,,
834,2016-2017 Y,11/9/2016,"person hold
Classroom",that he was going to get the other student.,,
835,,,,Student became upset when another student touched something on his desk.  He yelled at student who,,
836,,,,"yelled back.  Staff attempted to intervene and talk about a big or little deal, but student took off his",,
837,,,Small child restraint 2,headphones and threw them across the room.  Student then charged the other student and shoved her,,
838,2016-2017 Y,11/10/2016,"person hold
Classroom",into a table.  Staff put student in a small child 2 person hold for 12 minutes.  Student kicked staff on legs,,
839,,,Small child restraint 2,The client was kicking staff and was attempting to hit a female peer. The client was also was directed and,,
840,2016-2017 Y,11/14/2016,"person hold
Classroom",asked to make a good choice. The client continued swinging  and showing aggression toward the peer.,,
841,,,Small child restraint 2,xxx was working on imagine learning. He got up and started screaming in another student's face. He was,,
842,2016-2017 Y,11/14/2016,"person hold
Classroom",directed by the teacher to step away. xxx refused to step away and instead started hitting the teacher,,
843,,,StudentDiscipline_L,,,
844,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
845,,,,Student became upset that he could not have his counseling time.  He tried to force his way into her office.,,
846,,,,"When she opened the door to try to talk to him, student ran out of the classroom, circled around back",,
847,,,Small child restraint 1,through the office and held the door shut so the counselor could not come through.  Counselor was finally,,
848,2016-2017 Y,11/15/2016,"person hold
Hallway","able to convince the student to talk.  Student was able to reenter classroom to do work, but another",,
849,,,,xxx was coloring in the support area when he should have been reading. The teacher gave him a prompt to,,
850,,,Small child restraint 2,stop coloring. xxx hit the teacher three times. xxx was put into a two person small child hold for 8 mins.,,
851,2016-2017 Y,11/15/2016,"person hold
Other",Once out of the hold. xxx was unable to follow directions and went into the calm room to calm down. Once,,
852,,,,Teacher asked student to change activities and he punched her. Student was in support room and he,,
853,2016-2017 Y,11/15/2016 2 person seated hold,Other,stayed in the support room.,,
854,,,,"A student came off the bus, he was talking but I did not hear anything he said.",,
855,,,,"Immediately following off the bus, was xxx.",,
856,,,,"xxx ran up to the other student and punched the other student repeatedly in the head, ear, shoulder area.",,
857,,,,"I came into their proximity, verbally told the student to stop, and applied a standing hold to xxx. I did not",,
858,2016-2017 Y,11/16/2016 Standing Hold,Outside,see the other student show any physical aggression. xxx told me that the other student was talking,,
859,,,,Student was reminded of the expectation of this next center/expectation. Student ran out of the classroom,,
860,,,Small child restraint 1,without break card. Student darted down the hall and attempted to go through the double doors.  Another,,
861,2016-2017 Y,11/30/2016,"person hold
Hallway",staff stepped into the path and stopped him by standing in his way.  staff completed a small child. No,,
862,,,Small child restraint 2,xxx was mad that a peer kicked him from behind. So he threw a toy at the teacher's head. xxx was put in a,,
863,2016-2017 Y,12/2/2016,"person hold
Classroom",two person small child hold.,,
864,,,Small child restraint 2,xxx was refusing to work he started hitting xxx. He was put in a two person small child hold for 12 mins.,,
865,2016-2017 Y,12/15/2016,"person hold
Classroom",Once out of the hold he was able to calm down and take a break at the sensory center in the classroom.,,
